DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FUEL_COST_ID,SOURCE,COST_TYPE,NOTES
UPPTUMUT,SNOWY2,Tumut Power Station,NSW1,CAN,507,Hydro,Hydro,0,SCHEDULED,616,0,7630,1840,7790,1800,1,1,3080,1848,1232,7,0,0,0,7,,,,
GORDON,GORDON,Gordon Power Station,TAS1,TAS,940,Hydro,Hydro,0,SCHEDULED,432,0,2890,2780,5250,140,1,1,2160,1296,864,7,0,0,0,7,,,,
MOREESF1,MOREESF,MOREE SOLAR FARM,NSW1,NNS,567,Solar,Solar,0,SEMI-SCHEDULED,57,0,3600,3600,3600,3600,0,0,0,0,0,0,3.6,0,0,0,,,,
TREVALLN,TREVALLN,Trevallyn Power Station,TAS1,TAS,696,Hydro,Hydro,0,SCHEDULED,93,0,500,500,1710,1710,1,1,465,279,186,7,0,0,0,7,,,,
POR01,PORTLCN,Port Lincoln Gas Turbine,SA1,NSA,885,Diesel oil,Fossil,1.56153,SCHEDULED,50,0,180,180,180,180,1,1,5000,5000,5000,10.4,13.84615385,0.3,8.405479859,126.7835673,Liquid Fuel,ACIL,LIQUID,
LKBONNY2,LKBONNY_2,Lake Bonney Stage 2 Windfarm,SA1,SESA,658,Wind,Wind,0,SEMI-SCHEDULED,159,0,780,780,780,780,1,1,795,477,318,0,3.6,0,0,0,,,,
HUMEV,HUMEV,Hume (Vic) Hydro Power Station,NSW1,SWNSW,734,Hydro,Hydro,0,SCHEDULED,29,4.06,180,180,180,180,1,1,145,87,58,7,0,0,0,7,,,,
LKBONNY3,LKBONNY3,Lake Bonney Stage 3 Wind Farm,SA1,SESA,655,Wind,Wind,0,SEMI-SCHEDULED,39,0,900,180,900,180,1,1,195,117,78,0,3.6,0,0,0,,,,
POR03,PORTLCN,Port Lincoln Gas Turbine,SA1,NSA,885,Diesel oil,Fossil,1.56153,SCHEDULED,23,0,180,180,180,180,1,1,2300,2300,2300,10.4,13.84615385,0.3,8.405479859,126.7835673,Liquid Fuel,ACIL,LIQUID,
PPCCGT,NPPPPS,Pelican Point Power Station,SA1,ADE,797,Natural Gas (Pipeline),Fossil,0.48318,SCHEDULED,478,0,600,600,600,600,4,4,11950,7170,2390,7,7.5,0.3,7.223998176,61.17998632,Pelican Point,NTNDP,GAS,
PTSTAN1,STANVAC,Pt Stanvac Power Station,SA1,ADE,11,Diesel oil,Fossil,0.657,SCHEDULED,58,0,180,180,180,180,1,1,5800,5800,5800,10.88332,13.84615385,0.3,8.405479859,127.2668873,Liquid Fuel,ACIL,LIQUID,
BARRON-2,BARRON,Barron Gorge Power Station,QLD1,NQ,156,Hydro,Hydro,0,SCHEDULED,30,0,180,180,180,180,1,1,150,90,60,7,0,0,0,7,,,,
BARRON-1,BARRON,Barron Gorge Power Station,QLD1,NQ,156,Hydro,Hydro,0,SCHEDULED,30,0,180,180,180,180,1,1,150,90,60,7,0,0,0,7,,,,
CALL_B_1,CALLIDE,Callide Power Station,QLD1,CQ,931,Black coal,Fossil,1.01516,SCHEDULED,350,171.5,180,180,190,190,8,8,122500,42000,14000,1,9.972299169,0.1,2.12,22.14127424,Callide B & C,NTNDP,COAL,
CALL_B_2,CALLIDE,Callide Power Station,QLD1,CQ,931,Black coal,Fossil,1.01516,SCHEDULED,350,171.5,180,180,190,190,8,8,122500,42000,14000,1,9.972299169,0.1,2.12,22.14127424,Callide B & C,NTNDP,COAL,
KAREEYA4,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751,Hydro,Hydro,0,SCHEDULED,21,5.25,300,120,300,120,1,1,105,63,42,7,0,0,0,7,,,,
KAREEYA2,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751,Hydro,Hydro,0,SCHEDULED,21,5.25,300,120,300,120,1,1,105,63,42,7,0,0,0,7,,,,
KAREEYA1,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751,Hydro,Hydro,0,SCHEDULED,21,5.25,300,120,300,120,1,1,105,63,42,7,0,0,0,7,,,,
KAREEYA3,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751,Hydro,Hydro,0,SCHEDULED,21,5.25,300,120,300,120,1,1,105,63,42,7,0,0,0,7,,,,
QPS1,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,Quarantine,NTNDP,GAS,
QPS2,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,Quarantine,NTNDP,GAS,
QPS3,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,Quarantine,NTNDP,GAS,
QPS4,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,Quarantine,NTNDP,GAS,
QPS5,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,128,0,600,600,600,600,1,1,12800,12800,12800,10.4,11.25,0.3,6.629058547,84.97690865,Quarantine,NTNDP,GAS,
ROMA_7,ROMA,Roma Gas Turbine Station,QLD1,SWQ,90,Natural Gas (Pipeline),Fossil,0.76408,SCHEDULED,40,0,480,480,480,480,1,1,4000,4000,4000,10.4,12,0.3,6,82.4,Roma,NTNDP,GAS,
ROMA_8,ROMA,Roma Gas Turbine Station,QLD1,SWQ,90,Natural Gas (Pipeline),Fossil,0.76408,SCHEDULED,40,0,480,480,480,480,1,1,4000,4000,4000,10.4,12,0.3,6,82.4,Roma,NTNDP,GAS,
SITHE01,SITHE,SMITHFIELD ENERGY FACILITY,NSW1,NCEN,181,Natural Gas (Pipeline),Fossil,0.61713,SCHEDULED,160,0,60,180,70,180,1,1,4000,2400,800,7,8.780487805,0.3,5.825201823,58.14811357,Smithfield,NTNDP,GAS,
SNUG1,SNUG,SNUGGERY POWER STATION,SA1,SESA,655,Diesel oil,Fossil,1.4918,SCHEDULED,63,0,180,180,180,180,1,1,6300,6300,6300,10.4,13.84615385,0.3,8.582270557,129.2314385,Liquid Fuel,ACIL,LIQUID,
OAKLAND1,OAKLAND,Oaklands Hill Wind Farm,VIC1,MEL,619,Wind,Wind,0,SEMI-SCHEDULED,67,0,620,600,630,620,1,1,335,201,134,0,3.6,0,0,0,,,,
NYNGAN1,NYNGAN,Nyngan Solar Plant,NSW1,NCEN,573,Solar,Solar,0,SEMI-SCHEDULED,102,0,1200,1200,1200,1200,0,0,0,0,0,0,3.6,0,0,0,,,,
CETHANA,CETHANA,Cethana Power Station,TAS1,TAS,615,Hydro,Hydro,0,SCHEDULED,85,0,1260,1260,1790,1790,1,1,425,255,170,7,0,0,0,7,,,,
MUSSELR1,MUSSELRO,Musselroe Wind Farm,TAS1,TAS,374,Wind,Wind,0,SEMI-SCHEDULED,168,0,9740,9740,10080,10080,1,1,840,504,336,0,3.6,0,0,0,,,,
SWAN_E,SWANBANK,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,SEQ,918,Natural Gas (Pipeline),Fossil,0.44079,SCHEDULED,385,0,620,640,640,640,4,4,9625,5775,1925,7,7.659574468,0.3,6.9442,60.18961702,Swanbank E,NTNDP,GAS,
TALWA1,TALLAWAR,Tallawarra Power Station,NSW1,NCEN,514,Natural Gas (Pipeline),Fossil,0.46096,SCHEDULED,440,0,180,180,360,360,4,4,11000,6600,2200,7,7.2,0.3,5.825201823,48.94145313,Tallawarra,NTNDP,GAS,
TORRA1,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,Torrens Island,NTNDP,GAS,
TORRA2,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,Torrens Island,NTNDP,GAS,
GUNNING1,GUNNING,Gunning Wind Farm,NSW1,CAN,415,Wind,Wind,0,SEMI-SCHEDULED,47,0,2820,2820,2820,2820,1,1,235,141,94,0,3.6,0,0,0,,,,
TNPS1,TARONGN,Tarong North Power Station,QLD1,SWQ,456,Black coal,Fossil,0.89438,SCHEDULED,443,175,270,270,320,320,8,8,155050,53160,17720,1,9.183673469,0.1,2.766,26.40204082,Tarong,NTNDP,COAL,
TORRA3,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,Torrens Island,NTNDP,GAS,
NBHWF1,NBHWF,North Brown Hill Wind Farm,SA1,NSA,399,Wind,Wind,0,SEMI-SCHEDULED,132,0,180,180,180,180,1,1,660,396,264,0,3.6,0,0,0,,,,
CLEMGPWF,CLEMGPWF,Clements Gap Wind Farm,SA1,NSA,353,Wind,Wind,0,SEMI-SCHEDULED,57,0,1790,1790,1790,1790,1,1,285,171,114,0,3.6,0,0,0,,,,
MURRAY,MURRAY,Murray Power Station,NSW1,CAN,209,Hydro,Hydro,0,SCHEDULED,1500,0,11440,2990,12000,2530,1,1,7500,4500,3000,7,0,0,0,7,,,,
TORRA4,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,Torrens Island,NTNDP,GAS,
TORRB1,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,Torrens Island,NTNDP,GAS,
KPP_1,KOGANCK,Kogan Creek Power Station,QLD1,SWQ,815,Black coal,Fossil,0.90583,SCHEDULED,744,347.2,240,300,210,210,8,8,260400,89280,29760,0.4925,9.37,0.1,1.459,14.16333,Kogan Creek,NTNDP,COAL,
WOODLWN1,WOODLWN,Woodlawn Wind Farm,NSW1,CAN,692,Wind,Wind,0,SEMI-SCHEDULED,48,0,900,180,900,180,1,1,240,144,96,0,3.6,0,0,0,,,,
CPP_3,CALLIDEC,CALLIDE C NETT OFF,QLD1,CQ,933,Black coal,Fossil,0.96132,SCHEDULED,420,207.4074074,210,220,230,230,8,8,147000,50400,16800,1,9.863013699,0.1,2.12,21.90958904,Callide B & C,NTNDP,COAL,
CPP_4,CALLIDEC,CALLIDE C NETT OFF,QLD1,CQ,933,Black coal,Fossil,0.96132,SCHEDULED,420,207.4074074,210,220,230,230,8,8,147000,50400,16800,1,9.863013699,0.1,2.12,21.90958904,Callide B & C,NTNDP,COAL,
BW01,BAYSW,Bayswater Power Station,NSW1,NCEN,244,Black coal,Fossil,0.9674,SCHEDULED,660,291.1764706,120,100,310,230,8,8,231000,79200,26400,1,10.02785515,0.1,1.463,15.67075208,Macquarie Generation_Bayswater,NTNDP,COAL,
BW02,BAYSW,Bayswater Power Station,NSW1,NCEN,244,Black coal,Fossil,0.9674,SCHEDULED,660,291.1764706,120,100,310,230,8,8,231000,79200,26400,1,10.02785515,0.1,1.463,15.67075208,Macquarie Generation_Bayswater,NTNDP,COAL,
BW03,BAYSW,Bayswater Power Station,NSW1,NCEN,244,Black coal,Fossil,0.9674,SCHEDULED,660,291.1764706,120,100,310,230,8,8,231000,79200,26400,1,10.02785515,0.1,1.463,15.67075208,Macquarie Generation_Bayswater,NTNDP,COAL,
BW04,BAYSW,Bayswater Power Station,NSW1,NCEN,244,Black coal,Fossil,0.9674,SCHEDULED,660,291.1764706,120,100,310,230,8,8,231000,79200,26400,1,10.02785515,0.1,1.463,15.67075208,Macquarie Generation_Bayswater,NTNDP,COAL,
HALLWF1,HALLWF,Hallett 1 Wind Farm,SA1,NSA,107,Wind,Wind,0,SEMI-SCHEDULED,95,0,180,180,180,180,1,1,475,285,190,0,3.6,0,0,0,,,,
TUMUT3,SNOWY1,Tumut 3 Power Station,NSW1,CAN,667,Hydro,Hydro,0,SCHEDULED,1500,0,12000,2890,12000,2120,1,1,7500,4500,3000,7,0,0,0,7,,,,
TORRB2,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,Torrens Island,NTNDP,GAS,
TORRB3,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,Torrens Island,NTNDP,GAS,
TORRB4,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,Torrens Island,NTNDP,GAS,
TVCC201,TVCCPS,Tamar Valley Combined Cycle Power Station,TAS1,TAS,374,Natural Gas (Pipeline),Fossil,0.45191,SCHEDULED,208,0,430,430,110,540,4,4,5200,3120,1040,7,7.5,0.3,6.617023256,56.62767442,Tamar Valley,NTNDP,GAS,
TVPP104,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.70965,SCHEDULED,58,0,600,600,600,600,1,1,5800,5800,5800,10.4,12.85714286,0.3,6.617023256,95.47601331,Bell Bay Three,NTNDP,GAS,
HDWF2,HORNSDAL2,Hornsdale Wind Farm 2,SA1,NSA,107,Wind,Wind,0,SEMI-SCHEDULED,102,0,180,180,180,180,1,1,510,306,204,0,3.6,0,0,0,,,,
HDWF1,HORNSDAL,Hornsdale Wind Farm,SA1,NSA,107,Wind,Wind,0,SEMI-SCHEDULED,102,0,180,180,180,180,1,1,510,306,204,0,3.6,0,0,0,,,,
HALLWF2,HALLWF2,Hallett 2 Wind Farm,SA1,NSA,405,Wind,Wind,0,SEMI-SCHEDULED,71,0,120,120,120,120,1,1,355,213,142,0,3.6,0,0,0,,,,
GUTHEGA,SNOWY3,Guthega Power Station,NSW1,CAN,206,Hydro,Hydro,0,SCHEDULED,60,21,580,600,590,600,1,1,300,180,120,7,0,0,0,7,,,,
POAT220,PTINA220,Poatina Power Station,TAS1,TAS,706,Hydro,Hydro,0,SCHEDULED,200,0,1210,1220,2250,2260,1,1,1000,600,400,7,0,0,0,7,,,,
POAT110,PTINA110,Poatina Power Station,TAS1,TAS,706,Hydro,Hydro,0,SCHEDULED,100,0,1210,1220,2250,2260,1,1,500,300,200,7,0,0,0,7,,,,
TARRALEA,TARRALEA,Tarraleah Power Station,TAS1,TAS,936,Hydro,Hydro,0,SCHEDULED,90,0,1000,1000,1000,1000,1,1,450,270,180,7,0,0,0,7,,,,
FISHER,FISHER,Fisher Power Station,TAS1,TAS,373,Hydro,Hydro,0,SCHEDULED,43,0,440,440,890,890,1,1,215,129,86,7,0,0,0,7,,,,
URANQ11,URANQ,Uranquinty Power Station,NSW1,SWNSW,448,Natural Gas (Pipeline),Fossil,0.73152,SCHEDULED,166,0,660,660,660,660,1,1,16600,16600,16600,10.4,11.25,0.3,6.49676901,83.48865136,Uranquinty,NTNDP,GAS,
SHGEN,SHOALHAV,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,NCEN,596,Hydro,Hydro,0,SCHEDULED,240,0,600,600,600,600,1,1,1200,720,480,7,0,0,0,7,,,,
MACARTH1,MACARTH,Macarthur Wind Farm,VIC1,MEL,621,Wind,Wind,0,SEMI-SCHEDULED,420,0,620,600,630,620,1,1,2100,1260,840,0,3.6,0,0,0,,,,
ER02,ERARING,ERARING POWER STATION,NSW1,NCEN,909,Black coal,Fossil,0.96475,SCHEDULED,720,230.4,150,210,300,300,8,8,252000,86400,28800,1,10.16949153,0.1,2.29,24.2881356,Eraring Energy,NTNDP,COAL,
ER01,ERARING,ERARING POWER STATION,NSW1,NCEN,909,Black coal,Fossil,0.96475,SCHEDULED,720,230.4,150,210,300,300,8,8,252000,86400,28800,1,10.16949153,0.1,2.29,24.2881356,Eraring Energy,NTNDP,COAL,
ER03,ERARING,ERARING POWER STATION,NSW1,NCEN,909,Black coal,Fossil,0.96475,SCHEDULED,720,230.4,150,210,300,300,8,8,252000,86400,28800,1,10.16949153,0.1,2.29,24.2881356,Eraring Energy,NTNDP,COAL,
ER04,ERARING,ERARING POWER STATION,NSW1,NCEN,909,Black coal,Fossil,0.96475,SCHEDULED,720,230.4,150,210,300,300,8,8,252000,86400,28800,1,10.16949153,0.1,2.29,24.2881356,Eraring Energy,NTNDP,COAL,
LYA2,LOYYANGA,LOY YANG A POWER STATION,VIC1,LV,35,Brown coal,Fossil,1.25875,SCHEDULED,530,328.6,350,430,330,320,16,16,185500,63600,21200,1,13.23529412,0.1,0.616,9.152941178,Loy Yang A,NTNDP,COAL,
LYA1,LOYYANGA,LOY YANG A POWER STATION,VIC1,LV,35,Brown coal,Fossil,1.25875,SCHEDULED,560,347.2,350,430,330,320,16,16,196000,67200,22400,0.99,13.23529412,0.1,0.616,9.142941178,Loy Yang A,NTNDP,COAL,
LYA4,LOYYANGA,LOY YANG A POWER STATION,VIC1,LV,35,Brown coal,Fossil,1.25875,SCHEDULED,560,347.2,350,430,330,320,16,16,196000,67200,22400,1.02,13.23529412,0.1,0.616,9.172941178,Loy Yang A,NTNDP,COAL,
LYA3,LOYYANGA,LOY YANG A POWER STATION,VIC1,LV,35,Brown coal,Fossil,1.25875,SCHEDULED,560,347.2,350,430,330,320,16,16,196000,67200,22400,1.01,13.23529412,0.1,0.616,9.162941178,Loy Yang A,NTNDP,COAL,
MCKAY1,MCKAY,Bogong / Mackay Power Station,VIC1,NVIC,736,Hydro,Hydro,0,SCHEDULED,300,0,3600,3600,3600,3530,1,1,1500,900,600,7,0,0,0,7,,,,
STAN-1,STANWELL,STANWELL POWER STATION,QLD1,CQ,224,Black coal,Fossil,0.95068,SCHEDULED,365,182.5,180,180,180,180,8,8,127750,43800,14600,3.1,9.89010989,0.1,2.121,24.07692308,Stanwell,NTNDP,COAL,
STAN-2,STANWELL,STANWELL POWER STATION,QLD1,CQ,224,Black coal,Fossil,0.95068,SCHEDULED,365,182.5,180,180,180,180,8,8,127750,43800,14600,3.1,9.89010989,0.1,2.121,24.07692308,Stanwell,NTNDP,COAL,
STAN-3,STANWELL,STANWELL POWER STATION,QLD1,CQ,224,Black coal,Fossil,0.95068,SCHEDULED,365,182.5,180,180,180,180,8,8,127750,43800,14600,3.1,9.89010989,0.1,2.121,24.07692308,Stanwell,NTNDP,COAL,
STAN-4,STANWELL,STANWELL POWER STATION,QLD1,CQ,224,Black coal,Fossil,0.95068,SCHEDULED,365,182.5,180,180,180,180,8,8,127750,43800,14600,3.1,9.89010989,0.1,2.121,24.07692308,Stanwell,NTNDP,COAL,
URANQ12,URANQ,Uranquinty Power Station,NSW1,SWNSW,448,Natural Gas (Pipeline),Fossil,0.73152,SCHEDULED,166,0,660,660,660,660,1,1,16600,16600,16600,10.4,11.25,0.3,6.49676901,83.48865136,Uranquinty,NTNDP,GAS,
URANQ13,URANQ,Uranquinty Power Station,NSW1,SWNSW,448,Natural Gas (Pipeline),Fossil,0.73152,SCHEDULED,166,0,660,660,660,660,1,1,16600,16600,16600,10.4,11.25,0.3,6.49676901,83.48865136,Uranquinty,NTNDP,GAS,
WATERLWF,WATERLWF,Waterloo Wind Farm,SA1,NSA,125,Wind,Wind,0,SEMI-SCHEDULED,130,0,620,600,630,620,1,1,650,390,260,0,3.6,0,0,0,,,,
URANQ14,URANQ,Uranquinty Power Station,NSW1,SWNSW,448,Natural Gas (Pipeline),Fossil,0.73152,SCHEDULED,166,0,660,660,660,660,1,1,16600,16600,16600,10.4,11.25,0.3,6.49676901,83.48865136,Uranquinty,NTNDP,GAS,
VPGS1,VPGS,Valley Power Peaking Facility,VIC1,LV,775,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50,0,3360,600,3600,600,1,1,5000,5000,5000,10.4,15,0.3,6.213779014,103.6066852,Valley Power,NTNDP,GAS,
VPGS2,VPGS,Valley Power Peaking Facility,VIC1,LV,775,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50,0,3360,600,3600,600,1,1,5000,5000,5000,10.4,15,0.3,6.213779014,103.6066852,Valley Power,NTNDP,GAS,
VPGS3,VPGS,Valley Power Peaking Facility,VIC1,LV,775,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50,0,3360,600,3600,600,1,1,5000,5000,5000,10.4,15,0.3,6.213779014,103.6066852,Valley Power,NTNDP,GAS,
VPGS4,VPGS,Valley Power Peaking Facility,VIC1,LV,775,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50,0,3360,600,3600,600,1,1,5000,5000,5000,10.4,15,0.3,6.213779014,103.6066852,Valley Power,NTNDP,GAS,
ARWF1,ARWF,Ararat Wind Farm,VIC1,CVIC,303,Wind,Wind,0,SEMI-SCHEDULED,241,0,620,600,630,620,1,1,1205,723,482,0,3.6,0,0,0,,,,
LOYYB1,LOYYB,LOY YANG B POWER STATION,VIC1,LV,774,Brown coal,Fossil,1.2323,SCHEDULED,500,304.7619048,450,450,540,540,16,16,175000,60000,20000,1,13.53383459,0.1,0.616,9.336842107,Loy Yang B,NTNDP,COAL,
LOYYB2,LOYYB,LOY YANG B POWER STATION,VIC1,LV,774,Brown coal,Fossil,1.2323,SCHEDULED,500,304.7619048,450,450,540,540,16,16,175000,60000,20000,1.01,13.53383459,0.1,0.616,9.346842107,Loy Yang B,NTNDP,COAL,
VPGS5,VPGS,Valley Power Peaking Facility,VIC1,LV,775,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50,0,3360,600,3600,600,1,1,5000,5000,5000,10.4,15,0.3,6.213779014,103.6066852,Valley Power,NTNDP,GAS,
SNOWSTH1,SNOWSTH,Snowtown South Wind Farm,SA1,NSA,407,Wind,Wind,0,SEMI-SCHEDULED,126,0,620,600,630,620,1,1,630,378,252,0,3.6,0,0,0,,,,
SNOWTWN1,SNOWTOWN,Snowtown Wind Farm Units 1 And 47,SA1,NSA,870,Wind,Wind,0,SEMI-SCHEDULED,99,0,620,600,630,620,1,1,495,297,198,0,3.6,0,0,0,,,,
VPGS6,VPGS,Valley Power Peaking Facility,VIC1,LV,775,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50,0,3360,600,3600,600,1,1,5000,5000,5000,10.4,15,0.3,6.213779014,103.6066852,Valley Power,NTNDP,GAS,
YABULU,YABULU,Townsville Gas Turbine,QLD1,NQ,360,Natural Gas (Pipeline),Fossil,0.52449,SCHEDULED,160,0,770,770,340,340,4,4,4000,2400,800,7,7.826086957,0.3,5.621869767,50.99724166,Townsville,NTNDP,GAS,
BALDHWF1,BHWF,Bald Hills Wind Farm,VIC1,MEL,496,Wind,Wind,0,SEMI-SCHEDULED,106,0,620,600,630,620,1,1,530,318,212,0,3.6,0,0,0,,,,
MACKNTSH,MACKNTSH,Mackintosh Power Station,TAS1,TAS,830,Hydro,Hydro,0,SCHEDULED,80,0,1000,1000,1800,1800,1,1,400,240,160,7,0,0,0,7,,,,
SNOWNTH1,SNOWNTH,Snowtown Wind Farm Stage 2 North,SA1,NSA,870,Wind,Wind,0,SEMI-SCHEDULED,144,0,620,600,630,620,1,1,720,432,288,0,3.6,0,0,0,,,,
MEADOWBK,MEADOWBK,Meadowbank Power Station,TAS1,TAS,676,Hydro,Hydro,0,SCHEDULED,40,0,290,290,480,480,1,1,200,120,80,7,0,0,0,7,,,,
MERCER01,MTMERCER,Mt Mercer Wind Farm,VIC1,MEL,304,Wind,Wind,0,SEMI-SCHEDULED,131,0,620,600,630,620,1,1,655,393,262,0,3.6,0,0,0,,,,
JBUTTERS,JBUTTERS,John Butters Power Station,TAS1,TAS,938,Hydro,Hydro,0,SCHEDULED,144,0,1610,1610,1730,1730,1,1,720,432,288,7,0,0,0,7,,,,
YABULU2,YABULU,Townsville Gas Turbine,QLD1,NQ,360,Natural Gas (Pipeline),Fossil,0.52449,SCHEDULED,82,0,770,770,340,340,4,4,2050,1230,410,7,7.826086957,0.3,5.621869767,50.99724166,Townsville,NTNDP,GAS,
YARWUN_1,YARWUN,Yarwun Power Station,QLD1,CQ,703,Natural Gas (Pipeline),Fossil,0.62552,SCHEDULED,154,0,600,600,600,600,1,1,3850,2310,770,7,10.58823529,0.3,4.103447547,50.44826813,Yarwun,NTNDP,GAS,
